"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20240201","4호선","총신대입구(이수)","20542","22259","20240204",""
"20240201","4호선","사당","27045","23267","20240204",""
"20240201","4호선","남태령","1359","1249","20240204",""
"20240201","5호선","방화","7526","7106","20240204",""
"20240201","5호선","개화산","6670","6320","20240204",""
"20240201","5호선","김포공항","10288","7857","20240204",""
"20240201","5호선","송정","6869","6491","20240204",""
"20240201","5호선","마곡","13575","13752","20240204",""
"20240201","5호선","발산","25267","25680","20240204",""
"20240201","5호선","우장산","15908","16029","20240204",""
"20240201","5호선","화곡","30780","28642","20240204",""
"20240201","5호선","까치산","30512","29461","20240204",""
"20240201","5호선","신정(은행정)","14848","12189","20240204",""
"20240201","5호선","목동","18163","19494","20240204",""
"20240201","5호선","오목교(목동운동장앞)","22996","24585","20240204",""
"20240201","5호선","양평","8624","8532","20240204",""
"20240201","일산선","지축","2","0","20240204",""
"20240201","5호선","영등포구청","5038","5197","20240204",""
"20240201","5호선","영등포시장","12266","12669","20240204",""
"20240201","5호선","신길","5120","5383","20240204",""
"20240201","5호선","여의도","33223","34671","20240204",""
"20240201","5호선","여의나루","11819","13317","20240204",""
"20240201","5호선","마포","17199","17657","20240204",""
"20240201","5호선","공덕","16524","17309","20240204",""
"20240201","5호선","애오개","7626","7542","20240204",""
"20240201","5호선","충정로(경기대입구)","5174","5239","20240204",""
"20240201","5호선","서대문","22992","23378","20240204",""
"20240201","5호선","광화문(세종문화회관)","36596","38551","20240204",""
"20240201","5호선","종로3가","14793","14226","20240204",""
"20240201","5호선","을지로4가","7336","7505","20240204",""
"20240201","5호선","동대문역사문화공원(DDP)","3539","4026","20240204",""
"20240201","5호선","신금호","7053","7497","20240204",""
"20240201","5호선","행당","8941","8025","20240204",""
"20240201","5호선","왕십리(성동구청)","4923","5787","20240204",""
"20240201","5호선","마장","6634","6264","20240204",""
"20240201","5호선","답십리","17814","16304","20240204",""
"20240201","5호선","장한평","21422","21393","20240204",""
"20240201","5호선","군자(능동)","12310","13513","20240204",""
"20240201","5호선","아차산(어린이대공원후문)","15535","15004","20240204",""
"20240201","5호선","광나루(장신대)","14450","13287","20240204",""
"20240201","5호선","천호(풍납토성)","20400","20199","20240204",""
"20240201","5호선","강동","19981","19365","20240204",""
"20240201","5호선","길동","8878","9234","20240204",""
"20240201","5호선","굽은다리(강동구민회관앞)","10412","10077","20240204",""
"20240201","5호선","명일","9809","10241","20240204",""
"20240201","5호선","고덕","11873","11575","20240204",""
"20240201","5호선","상일동","16180","15358","20240204",""
"20240201","5호선","둔촌동","9496","9488","20240204",""
"20240201","5호선","올림픽공원(한국체대)","4614","3914","20240204",""
"20240201","5호선","방이","8198","8679","20240204",""
"20240201","5호선","오금","4059","4050","20240204",""
"20240201","5호선","개롱","7141","7474","20240204",""
"20240201","5호선","거여","11050","10719","20240204",""
"20240201","5호선","마천","8082","7352","20240204",""
"20240201","5호선","강일","6283","5871","20240204",""
"20240201","5호선","미사","18921","19242","20240204",""
"20240201","5호선","하남풍산","4941","4933","20240204",""
"20240201","5호선","하남시청(덕풍·신장)","8667","8226","20240204",""
"20240201","5호선","하남검단산","6760","6362","20240204",""
"20240201","6호선","응암","18981","18901","20240204",""
"20240201","6호선","역촌","4018","4769","20240204",""
"20240201","6호선","불광","4783","4752","20240204",""
"20240201","6호선","독바위","3072","3221","20240204",""
"20240201","6호선","연신내","2","0","20240204",""
"20240201","6호선","구산","8956","7026","20240204",""
"20240201","6호선","새절(신사)","13807","12855","20240204",""
"20240201","6호선","증산(명지대앞)","10577","10643","20240204",""
"20240201","6호선","디지털미디어시티","16489","18277","20240204",""
"20240201","6호선","월드컵경기장(성산)","4211","4333","20240204",""
"20240201","6호선","마포구청","15698","14329","20240204",""
"20240201","6호선","망원","16203","17320","20240204",""
"20240201","6호선","합정","14330","13962","20240204",""
"20240201","6호선","상수","9734","10747","20240204",""
"20240201","6호선","광흥창(서강)","10535","10311","20240204",""
"20240201","6호선","대흥(서강대앞)","9566","9876","20240204",""
"20240201","6호선","공덕","21431","20686","20240204",""
"20240201","6호선","효창공원앞","7821","6987","20240204",""
"20240201","6호선","삼각지","7655","6866","20240204",""
"20240201","6호선","녹사평(용산구청)","4972","5099","20240204",""
"20240201","6호선","이태원","10699","11093","20240204",""
"20240201","6호선","한강진","9726","10894","20240204",""
"20240201","6호선","버티고개","2292","2269","20240204",""
"20240201","6호선","약수","4088","4008","20240204",""
"20240201","6호선","청구","4195","4201","20240204",""
"20240201","6호선","신당","9379","9729","20240204",""
"20240201","6호선","동묘앞","8413","8506","20240204",""
"20240201","6호선","창신","3714","2891","20240204",""
"20240201","6호선","보문","8253","7687","20240204",""
"20240201","6호선","안암(고대병원앞)","11055","11451","20240204",""
"20240201","6호선","고려대(종암)","8502","8204","20240204",""
"20240201","6호선","월곡(동덕여대)","12557","12397","20240204",""
"20240201","6호선","상월곡(한국과학기술연구원)","7578","7089","20240204",""
"20240201","6호선","돌곶이","10609","9633","20240204",""
"20240201","6호선","석계","13000","13363","20240204",""
"20240201","6호선","태릉입구","5998","6505","20240204",""
"20240201","6호선","화랑대(서울여대입구)","12307","9658","20240204",""
"20240201","6호선","봉화산(서울의료원)","9971","9413","20240204",""
"20240201","6호선","신내","1","0","20240204",""
"20240201","7호선","장암","2684","1078","20240204",""
"20240201","7호선","도봉산","9164","10604","20240204",""
"20240201","7호선","수락산","12774","12648","20240204",""
"20240201","7호선","마들","14106","13190","20240204",""
"20240201","7호선","노원","25893","27210","20240204",""
"20240201","7호선","중계","15742","14341","20240204",""
"20240201","7호선","하계","19091","18002","20240204",""
"20240201","7호선","공릉(서울과학기술대)","12322","12270","20240204",""
"20240201","7호선","태릉입구","8976","8276","20240204",""
"20240201","7호선","먹골","10856","10649","20240204",""
"20240201","7호선","중화","11450","11248","20240204",""
"20240201","7호선","상봉","18198","17438","20240204",""
"20240201","7호선","면목","15659","15277","20240204",""
"20240201","7호선","사가정","17184","17290","20240204",""
"20240201","7호선","용마산(용마폭포공원)","6249","6077","20240204",""
"20240201","7호선","중곡","11912","11254","20240204",""
"20240201","7호선","군자(능동)","16247","12940","20240204",""
"20240201","7호선","어린이대공원(세종대)","13449","13232","20240204",""
"20240201","7호선","건대입구","13767","14262","20240204",""
"20240201","7호선","뚝섬유원지","8573","8452","20240204",""
"20240201","7호선","청담","21496","23748","20240204",""
"20240201","7호선","강남구청","18551","20734","20240204",""
"20240201","7호선","학동","27514","28797","20240204",""
"20240201","7호선","논현","20765","21117","20240204",""
"20240201","7호선","반포","6646","6512","20240204",""
"20240201","7호선","고속터미널","17218","14607","20240204",""
"20240201","7호선","내방","16388","16699","20240204",""
"20240201","7호선","이수","17435","17070","20240204",""
"20240201","7호선","남성","12393","11542","20240204",""
"20240201","7호선","숭실대입구(살피재)","12535","12935","20240204",""
"20240201","7호선","상도","11838","11412","20240204",""
"20240201","7호선","장승배기","10086","9869","20240204",""
"20240201","7호선","신대방삼거리","16226","15507","20240204",""
"20240201","7호선","보라매","7274","7604","20240204",""
"20240201","7호선","신풍","12015","11292","20240204",""
"20240201","7호선","대림(구로구청)","8799","8872","20240204",""
"20240201","7호선","남구로","16620","17450","20240204",""
"20240201","7호선","가산디지털단지","51600","52426","20240204",""
"20240201","7호선","철산","23206","23216","20240204",""
"20240201","7호선","광명사거리","21685","21519","20240204",""
"20240201","7호선","천왕","12643","12080","20240204",""
"20240201","7호선","온수(성공회대입구)","10335","9373","20240204",""
"20240201","8호선","암사","20566","17977","20240204",""
"20240201","8호선","천호(풍납토성)","16156","18577","20240204",""
"20240201","8호선","강동구청","12060","12419","20240204",""
"20240201","8호선","몽촌토성(평화의문)","7373","7480","20240204",""
"20240201","8호선","잠실(송파구청)","16921","19539","20240204",""
"20240201","8호선","석촌","8878","10029","20240204",""
"20240201","8호선","송파","10289","10214","20240204",""
"20240201","8호선","가락시장","9549","10410","20240204",""
"20240201","8호선","문정","25450","26492","20240204",""
"20240201","8호선","장지","18485","17233","20240204",""
"20240201","8호선","복정","9893","8219","20240204",""
"20240201","8호선","산성","6608","6633","20240204",""
"20240201","8호선","남한산성입구(성남법원.검찰청)","13792","12579","20240204",""
"20240201","8호선","단대오거리","12910","12639","20240204",""
"20240201","8호선","신흥","5683","5821","20240204",""
"20240201","8호선","수진","5536","5148","20240204",""
"20240201","8호선","모란","4668","3691","20240204",""
"20240201","8호선","남위례","7955","7893","20240204",""
"20240201","9호선","개화","3226","2067","20240204",""
"20240201","9호선","김포공항","8315","10797","20240204",""
"20240201","9호선","공항시장","3193","3425","20240204",""
"20240201","9호선","신방화","7728","7660","20240204",""
"20240201","9호선","마곡나루(서울식물원)","15059","14898","20240204",""
"20240201","9호선","양천향교","11049","11400","20240204",""
"20240201","9호선","가양","24155","23451","20240204",""
"20240201","9호선","증미","9167","8853","20240204",""
"20240201","9호선","등촌","13434","12891","20240204",""
"20240201","9호선","염창","19268","18704","20240204",""
"20240201","9호선","신목동","4827","4408","20240204",""
"20240201","9호선","선유도","10202","9839","20240204",""
"20240201","9호선","당산","21080","21040","20240204",""
"20240201","9호선","국회의사당","19286","20097","20240204",""
"20240201","9호선","여의도","33114","32325","20240204",""
"20240201","9호선","샛강","7377","7514","20240204",""
"20240201","9호선","노량진","26742","26122","20240204",""
"20240201","9호선","노들","5011","4144","20240204",""
"20240201","9호선","흑석(중앙대입구)","9131","9578","20240204",""
"20240201","9호선","동작(현충원)","1772","1489","20240204",""
"20240201","9호선","구반포","1251","1294","20240204",""
"20240201","9호선","신반포","4451","4329","20240204",""
"20240201","9호선","고속터미널","14238","18948","20240204",""
"20240201","9호선","사평","4387","4361","20240204",""
"20240201","9호선","신논현","35994","35365","20240204",""
"20240201","9호선2~3단계","언주","13057","13437","20240204",""
"20240201","9호선2~3단계","선정릉","11261","12152","20240204",""
"20240201","9호선2~3단계","삼성중앙","9339","9596","20240204",""
"20240201","9호선2~3단계","봉은사","26164","27639","20240204",""
"20240201","9호선2~3단계","종합운동장","4955","5159","20240204",""
"20240201","9호선2~3단계","삼전","8489","8097","20240204",""
"20240201","9호선2~3단계","석촌고분","7935","7675","20240204",""
"20240201","9호선2~3단계","석촌","10110","8967","20240204",""
"20240201","9호선2~3단계","송파나루","6007","6434","20240204",""
"20240201","9호선2~3단계","한성백제","3273","2892","20240204",""
"20240201","경강선","곤지암","2426","2276","20240204",""
"20240201","9호선2~3단계","올림픽공원(한국체대)","6460","6486","20240204",""
"20240201","9호선2~3단계","둔촌오륜","1295","1219","20240204",""
"20240201","5호선","청구","4278","4131","20240204",""
"20240201","9호선2~3단계","중앙보훈병원","13523","11814","20240204",""
"20240201","경강선","판교","6720","6718","20240204",""
"20240201","경강선","이매","1284","1140","20240204",""
"20240201","경강선","삼동","2750","2424","20240204",""
"20240201","경강선","경기광주","8490","7964","20240204",""
"20240201","경강선","초월","3649","3433","20240204",""
"20240201","경강선","신둔도예촌","1596","1487","20240204",""
"20240201","경강선","이천","2790","2901","20240204",""
"20240201","경강선","부발","2163","2218","20240204",""
"20240201","경강선","세종대왕릉","365","369","20240204",""
"20240201","경강선","여주","2468","2461","20240204",""
"20240201","경부선","서울역","8575","2820","20240204",""
"20240201","경부선","남영","10358","10714","20240204",""
"20240201","경부선","용산","38479","39306","20240204",""
"20240201","경부선","노량진","8750","9082","20240204",""
"20240201","경부선","대방","11369","12551","20240204",""
"20240201","경부선","영등포","41036","41751","20240204",""
"20240201","경부선","신도림","4201","4198","20240204",""
"20240201","경부선","신길","9447","7948","20240204",""
"20240201","경부선","구로","18662","19042","20240204",""
"20240201","경부선","가산디지털단지","19557","21945","20240204",""
"20240201","경부선","금천구청","12123","12164","20240204",""
"20240201","경부선","석수","9344","8524","20240204",""
"20240201","경부선","관악","7878","7447","20240204",""
"20240201","경부선","안양","21674","21859","20240204",""
"20240201","경부선","명학","9524","9333","20240204",""
"20240201","경부선","금정","29759","30372","20240204",""
"20240201","경부선","군포","7964","7737","20240204",""
"20240201","경부선","의왕","10020","9839","20240204",""
"20240201","경부선","성균관대","15318","15046","20240204",""
"20240201","경부선","화서","15725","15753","20240204",""
"20240201","경부선","수원","35339","37643","20240204",""
"20240201","경부선","독산","19718","20463","20240204",""
"20240201","경부선","세류","3467","3151","20240204",""
"20240201","경부선","병점","14748","14674","20240204",""
"20240201","경부선","세마","3344","3111","20240204",""
"20240201","경부선","오산대","3610","3370","20240204",""
"20240201","경부선","오산","9944","10021","20240204",""
"20240201","경부선","진위","1648","1468","20240204",""
"20240201","경부선","송탄","4123","4135","20240204",""
"20240201","경부선","서정리","8198","7381","20240204",""
"20240201","경부선","평택지제","4485","4427","20240204",""
"20240201","경부선","평택","11830","11490","20240204",""
"20240201","경부선","성환","3691","3641","20240204",""
"20240201","경부선","직산","998","955","20240204",""
"20240201","경부선","두정","6262","6235","20240204",""
"20240201","경부선","천안","5455","5607","20240204",""
"20240201","경부선","당정","6447","6178","20240204",""
"20240201","경부선","서동탄","1622","1395","20240204",""
"20240201","경부선","광명","3767","3209","20240204",""
"20240201","경원선","이촌(국립중앙박물관)","4339","3296","20240204",""
"20240201","경원선","서빙고","2171","2078","20240204",""
"20240201","경원선","한남","4486","4147","20240204",""
"20240201","경원선","옥수","54","43","20240204",""
"20240201","경원선","응봉","1989","1766","20240204",""
"20240201","경원선","왕십리(성동구청)","16800","16889","20240204",""
"20240201","경원선","청량리(서울시립대입구)","16911","17677","20240204",""
"20240201","경원선","외대앞","8322","8156","20240204",""
"20240201","경원선","신이문","9250","8536","20240204",""
"20240201","경원선","석계","7821","9001","20240204",""
"20240201","경원선","광운대","8099","7622","20240204",""
"20240201","경원선","월계","6604","6298","20240204",""
"20240201","경원선","녹천","4754","4001","20240204",""
"20240201","경원선","방학","10464","10190","20240204",""
"20240201","경원선","도봉","6207","5964","20240204",""
"20240201","경원선","도봉산","7624","4855","20240204",""
"20240201","경원선","망월사","7549","7815","20240204",""
"20240201","경원선","회룡","13834","13421","20240204",""
"20240201","경원선","의정부","19108","19386","20240204",""
"20240201","경원선","가능","6578","6357","20240204",""
"20240201","경원선","녹양","4441","4252","20240204",""
"20240201","경원선","양주","7251","6803","20240204",""
"20240201","경원선","덕계","5353","4865","20240204",""
"20240201","경원선","덕정","5745","5412","20240204",""
"20240201","경원선","지행","6427","6237","20240204",""
"20240201","경원선","동두천중앙","3018","2964","20240204",""
"20240201","경원선","보산","1282","1254","20240204",""
"20240201","경원선","동두천","1737","1717","20240204",""
"20240201","경원선","소요산","1705","1581","20240204",""
"20240201","경원선","청산","125","124","20240204",""
"20240201","경원선","전곡","1242","981","20240204",""
"20240201","경원선","연천","1307","1184","20240204",""
"20240201","경의선","서울역","5050","6477","20240204",""
"20240201","경의선","신촌","935","1294","20240204",""
"20240201","경의선","효창공원앞","3295","3840","20240204",""
"20240201","경의선","공덕","4574","3709","20240204",""
"20240201","경의선","서강대","2228","2087","20240204",""
"20240201","경의선","홍대입구","2005","2513","20240204",""
"20240201","경의선","가좌","6368","5965","20240204",""
"20240201","경의선","디지털미디어시티","2892","2662","20240204",""
"20240201","경의선","수색","3992","4060","20240204",""
"20240201","경의선","한국항공대","1800","1653","20240204",""
"20240201","경의선","강매","3617","3089","20240204",""
"20240201","경의선","행신","8537","8660","20240204",""
"20240201","경의선","능곡","5015","4587","20240204",""
"20240201","경의선","곡산","666","767","20240204",""
"20240201","경의선","백마","7952","7629","20240204",""
"20240201","경의선","풍산","6417","6053","20240204",""
"20240201","경의선","일산","10928","10764","20240204",""
"20240201","경의선","탄현","8340","7951","20240204",""
"20240201","경의선","야당","8988","8975","20240204",""
"20240201","경의선","운정","8068","7472","20240204",""
"20240201","경의선","금릉","5649","5434","20240204",""
"20240201","경의선","금촌","7111","6904","20240204",""
"20240201","경의선","월롱","2253","1806","20240204",""
"20240201","경의선","파주","1048","903","20240204",""
"20240201","경의선","문산","5459","5192","20240204",""
"20240201","경의선","임진강","5","3","20240204",""
"20240201","경의선","운천","6","4","20240204",""
"20240201","경의선","계양","1","0","20240204",""
"20240201","경인선","개봉","22885","22533","20240204",""
"20240201","경인선","오류동","12182","11492","20240204",""
"20240201","경인선","역곡","27385","27423","20240204",""
"20240201","경인선","부천","32483","32610","20240204",""
"20240201","경인선","송내","28139","27536","20240204",""
"20240201","경인선","부평","29184","30960","20240204",""
"20240201","경인선","백운","7639","7473","20240204",""
"20240201","경인선","동암","16008","16018","20240204",""
"20240201","경인선","주안","18826","16949","20240204",""
"20240201","경인선","제물포","10484","10045","20240204",""
"20240201","경인선","동인천","14537","13581","20240204",""
"20240201","경인선","인천","3218","2533","20240204",""
"20240201","경인선","구일","6552","6685","20240204",""
"20240201","경인선","소사","7701","7504","20240204",""
"20240201","경인선","부개","8981","8462","20240204",""
"20240201","경인선","간석","6119","5796","20240204",""
"20240201","경인선","도원","2782","2888","20240204",""
"20240201","경인선","온수(성공회대입구)","6503","6205","20240204",""
"20240201","경인선","중동","9647","9029","20240204",""
"20240201","경인선","도화","4286","3956","20240204",""
"20240201","경춘선","신내","2597","2450","20240204",""
"20240201","경춘선","갈매","3198","2739","20240204",""
"20240201","경춘선","별내","3395","3278","20240204",""
"20240201","경춘선","퇴계원","3580","3307","20240204",""
"20240201","경춘선","사릉","2237","2177","20240204",""
"20240201","경춘선","금곡","1468","1403","20240204",""
"20240201","경춘선","평내호평","6219","6078","20240204",""
"20240201","경춘선","천마산","1520","1418","20240204",""
"20240201","경춘선","마석","3699","3511","20240204",""
"20240201","경춘선","대성리","561","473","20240204",""
"20240201","경춘선","청평","1687","1609","20240204",""
"20240201","경춘선","상천","221","225","20240204",""
"20240201","경춘선","가평","1845","1756","20240204",""
"20240201","경춘선","굴봉산","122","156","20240204",""
"20240201","경춘선","백양리","372","309","20240204",""
"20240201","경춘선","강촌","373","356","20240204",""
"20240201","경춘선","김유정","290","315","20240204",""
"20240201","경춘선","남춘천","2218","2273","20240204",""
"20240201","경춘선","춘천","991","898","20240204",""
"20240201","공항철도 1호선","서울역","11517","10335","20240204",""
"20240201","공항철도 1호선","공덕","3131","4159","20240204",""
"20240201","공항철도 1호선","홍대입구","13379","13573","20240204",""
"20240201","공항철도 1호선","디지털미디어시티","17120","15831","20240204",""
"20240201","공항철도 1호선","마곡나루(서울식물원)","13010","12440","20240204",""
"20240201","공항철도 1호선","김포공항","11296","6151","20240204",""
"20240201","공항철도 1호선","계양","14480","13472","20240204",""
"20240201","공항철도 1호선","검암","7335","7325","20240204",""
"20240201","공항철도 1호선","청라국제도시","8029","7722","20240204",""
"20240201","공항철도 1호선","운서","9050","9564","20240204",""
"20240201","공항철도 1호선","공항화물청사","2379","2575","20240204",""
"20240201","공항철도 1호선","인천공항1터미널","14441","12594","20240204",""
"20240201","공항철도 1호선","인천공항2터미널","6934","5775","20240204",""
"20240201","공항철도 1호선","영종","4009","4022","20240204",""
"20240201","과천선","선바위","8418","7556","20240204",""
"20240201","과천선","경마공원","1425","1451","20240204",""
"20240201","과천선","대공원","2624","2742","20240204",""
"20240201","과천선","과천","6890","6392","20240204",""
"20240201","과천선","정부과천청사","12755","13299","20240204",""
"20240201","과천선","인덕원","27275","27987","20240204",""
"20240201","과천선","평촌","19909","19576","20240204",""
"20240201","과천선","범계","28545","28292","20240204",""
"20240201","분당선","선릉","15513","23742","20240204",""
"20240201","분당선","한티","17445","18372","20240204",""
"20240201","분당선","도곡","8358","8354","20240204",""
"20240201","분당선","구룡","3385","3342","20240204",""
"20240201","분당선","개포동","5005","5236","20240204",""
"20240201","분당선","대모산입구","6611","6306","20240204",""
"20240201","분당선","수서","15808","16337","20240204",""
"20240201","분당선","복정","3","0","20240204",""
"20240201","분당선","수원","8343","7292","20240204",""
"20240201","분당선","서울숲","13186","13616","20240204",""
"20240201","분당선","압구정로데오","21293","23183","20240204",""
"20240201","분당선","강남구청","11002","12619","20240204",""
"20240201","분당선","선정릉","8895","9253","20240204",""
"20240201","분당선","가천대","7187","7621","20240204",""
"20240201","분당선","태평","13961","13359","20240204",""
"20240201","분당선","모란","20625","20648","20240204",""
"20240201","분당선","야탑","27736","29247","20240204",""
"20240201","분당선","서현","26392","26762","20240204",""
"20240201","분당선","수내","15899","15912","20240204",""
"20240201","분당선","정자","20581","21604","20240204",""
"20240201","분당선","미금","16751","17568","20240204",""
"20240201","분당선","오리","13127","11297","20240204",""
"20240201","분당선","이매","5856","5801","20240204",""
"20240201","분당선","보정","2836","2461","20240204",""
"20240201","분당선","죽전","13809","15346","20240204",""
"20240201","분당선","구성","5442","5657","20240204",""
"20240201","분당선","신갈","5144","5097","20240204",""
"20240201","분당선","기흥","10698","9777","20240204",""
"20240201","분당선","상갈","5782","5364","20240204",""
"20240201","분당선","청명","4912","4799","20240204",""
"20240201","분당선","영통","9113","9073","20240204",""
"20240201","분당선","망포","16837","16186","20240204",""
"20240201","분당선","매탄권선","5600","5471","20240204",""
"20240201","분당선","수원시청","14418","15422","20240204",""
"20240201","분당선","매교","5284","5211","20240204",""
"20240201","서해선","김포공항","3424","4047","20240204",""
"20240201","서해선","원종","4660","4692","20240204",""
"20240201","서해선","부천종합운동장","2584","2111","20240204",""
"20240201","수인선","고색","5740","5381","20240204",""
"20240201","수인선","오목천","3819","3379","20240204",""
"20240201","수인선","어천","1173","1147","20240204",""
"20240201","수인선","야목","376","331","20240204",""
"20240201","수인선","사리","5293","4628","20240204",""
"20240201","수인선","달월","118","69","20240204",""
"20240201","수인선","월곶","3233","2957","20240204",""
